Подорожник: лечебные свойства помогут избавиться от многих болезней,http://www.happy-giraffe.ru/community/33/forum/post/50910/,+,+,,,,,,,,,,,,
Польза киви в его диетической универсальности,http://www.happy-giraffe.ru/community/33/forum/post/50918/,+,+,,,,,,,,,,,,
Выпадение волос: лечение народными средствами,http://www.happy-giraffe.ru/community/33/forum/post/50959/,+,+,,,,,,,,,,,,
Кедровое масло полезные свойства: ТОП-10,http://www.happy-giraffe.ru/community/33/forum/post/50966/,+,+,,,,,,,,,,,,
Имбирный чай — противопоказания или Бывает ли фитотерапия вредной?,http://www.happy-giraffe.ru/community/33/forum/post/50997/,+,+,,,,,,,,,,,,
"Янтарь – камень, свойства которого позволяют вылечить много болезней",http://www.happy-giraffe.ru/community/33/forum/post/51141/,+,+,,,,,,,,,,,,
Болиголов: применение в медицине запрещено,http://www.happy-giraffe.ru/community/33/forum/post/51192/,+,+,,,,,,,,,,,,
Шишки хмеля: применение в борьбе за молодость,http://www.happy-giraffe.ru/community/33/forum/post/51638/,+,+,,,,,,,,,,,,
Зверобой трава применение и исцеляющие свойства,http://www.happy-giraffe.ru/community/33/forum/post/51648/,+,+,,,,,,,,,,,,
Что надо знать про медвежьи ушки,http://www.happy-giraffe.ru/community/33/forum/post/51790/,+,+,,,,,,,,,,,,
"Зверобой: зверя бьёт, людей лечит?",http://www.happy-giraffe.ru/community/33/forum/post/51795/,+,+,,,,,,,,,,,,
"Гранат: камень, свойства которого трудно переоценить",http://www.happy-giraffe.ru/community/33/forum/post/53799/,+,+,,,,,,,,,,,,
Менопауза: лечение проверенными народными средствами,http://www.happy-giraffe.ru/community/33/forum/post/54061/,+,+,,,,,,,,,,,,
Помогает ли магнитный браслет?,http://www.happy-giraffe.ru/community/33/forum/post/54397/,+,+,,,,,,,,,,,,
Эти полезные кукурузные рыльца,http://www.happy-giraffe.ru/community/33/forum/post/57340/,+,+,,,,,,,,,,,,
Любисток: полезные свойства и применение,http://www.happy-giraffe.ru/community/33/forum/post/57356/,+,+,,,,,,,,,,,,
Розовый кварц: изысканная красота с большими возможностями,http://www.happy-giraffe.ru/community/33/forum/post/58543/,+,+,,,,,,,,,,,,
"Абрикосовое масло: 9 рецептов для красоты, вкуса и здоровья",http://www.happy-giraffe.ru/community/33/forum/post/58566/,+,+,,,,,,,,,,,,
Простые отхаркивающие средства при сухом кашле,http://www.happy-giraffe.ru/community/33/forum/post/61996/,+,+,,,,,,,,,,,,
Помогает ли боровая матка при эндометриозе?,http://www.happy-giraffe.ru/community/33/forum/post/63850/,+,+,,,,,,,,,,,,
Сабельник болотный – универсальное средство от всех болезней,http://www.happy-giraffe.ru/community/33/forum/post/92889/,+,+,,,,,,,,,,,,
Кисель Изотова: секреты приготовления,http://www.happy-giraffe.ru/community/33/forum/post/92939/,+,+,,,,,,,,,,,,
Лечение гайморита народными средствами или как побороть болезнь без антибиотиков,http://www.happy-giraffe.ru/community/33/forum/post/93385/,+,+,,,,,,,,,,,,
Солянка холмовая: лечебные свойства пустынного кустарника,http://www.happy-giraffe.ru/community/33/forum/post/93857/,+,+,,,,,,,,,,,,
Народные рецепты удалят наросты на ногах,http://www.happy-giraffe.ru/community/33/forum/post/94715/,+,+,,,,,,,,,,,,
"Тибетские рецепты: лечим то, от чего немеют руки",http://www.happy-giraffe.ru/community/33/forum/post/95011/,+,+,,,,,,,,,,,,
Зверобой. Противопоказания к употреблению,http://www.happy-giraffe.ru/community/33/forum/post/95478/,+,+,,,,,,,,,,,,
Льняное масло: польза или вред?,http://www.happy-giraffe.ru/community/33/forum/post/95810/,+,+,,,,,,,,,,,,
5 эффективных способов лечения панариция в домашних условиях,http://www.happy-giraffe.ru/community/33/forum/post/96805/,+,+,,,,,,,,,,,,
Как вылечить фурункул в домашних условиях: самые эффективные рецепты,http://www.happy-giraffe.ru/community/33/forum/post/100847/,+,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Рубрика: Симптомы и ощущения,Постов в рубрике: 198,,,,,,,,,,,,,,
Заголовок,URL,Отметка 1,Отметка 2,Голубева Ирина Викторовна ,"Врач - терапевт, гепатолог, диетолог.",Окончила 2 Московский государственный медицинский институт.,с 15 января 2012 ,,,,,,,,
Почему немеет левая рука,http://www.happy-giraffe.ru/community/33/forum/post/4166/,+,+,http://www.happy-giraffe.ru/user/433649/,,,,,,,,,,,
Сгустки крови при месячных,http://www.happy-giraffe.ru/community/33/forum/post/4167/,+,+,,,,,,,,,,,,
Как защитить кожу от солнечных ожогов,http://www.happy-giraffe.ru/community/33/forum/post/4478/,+,+,,,,,,,,,,,,
Лечим солнечные ожоги,http://www.happy-giraffe.ru/community/33/forum/post/4479/,+,+,,,,,,,,,,,,
Первая помощь при солнечных ожогах,http://www.happy-giraffe.ru/community/33/forum/post/4482/,+,+,,,,,,,,,,,,
Такие разные солнечные ожоги кожи,http://www.happy-giraffe.ru/community/33/forum/post/4485/,+,+,,,,,,,,,,,,
Сильный солнечный ожог: когда к врачу?,http://www.happy-giraffe.ru/community/33/forum/post/4488/,+,+,,,,,,,,,,,,
"Что делать, если болит ухо?",http://www.happy-giraffe.ru/community/33/forum/post/21697/,+,+,,,,,,,,,,,,
Если болит копчик,http://www.happy-giraffe.ru/community/33/forum/post/21727/,+,+,,,,,,,,,,,,
Почему чешется грудь и что нужно делать,http://www.happy-giraffe.ru/community/33/forum/post/21737/,+,+,,,,,,,,,,,,
"Что делать, если образовались спайки после операции?",http://www.happy-giraffe.ru/community/33/forum/post/22385/,+,+,,,,,,,,,,,,
Что болит под мышкой?,http://www.happy-giraffe.ru/community/33/forum/post/22599/,+,+,,,,,,,,,,,,
"Что делать, если больно ходить в туалет «по-большому»?",http://www.happy-giraffe.ru/community/33/forum/post/22605/,+,+,,,,,,,,,,,,
Болят груди – почему и что делать?,http://www.happy-giraffe.ru/community/33/forum/post/23365/,+,+,,,,,,,,,,,,
Выделения из сосков – индикатор здоровья,http://www.happy-giraffe.ru/community/33/forum/post/23461/,+,+,,,,,,,,,,,,
"Киста головы: симптомы, причины, лечение",http://www.happy-giraffe.ru/community/33/forum/post/24865/,+,+,,,,,,,,,,,,
"Что делать, если температура 37 у взрослого и без симптомов?",http://www.happy-giraffe.ru/community/33/forum/post/25347/,+,+,,,,,,,,,,,,
Крутит ноги? Бегом к врачу!,http://www.happy-giraffe.ru/community/33/forum/post/25433/,+,+,,,,,,,,,,,,
Сильно болит горло: что делать?,http://www.happy-giraffe.ru/community/33/forum/post/25539/,+,+,,,,,,,,,,,,
Почему может быть раздражение в паху?,http://www.happy-giraffe.ru/community/33/forum/post/25741/,+,+,,,,,,,,,,,,
Почему может быть жжение в горле,http://www.happy-giraffe.ru/community/33/forum/post/25963/,+,+,,,,,,,,,,,,
Что означают боли в левом боку в верхнем квадрате?,http://www.happy-giraffe.ru/community/33/forum/post/26101/,+,+,,,,,,,,,,,,
Почему чешутся ладони?,http://www.happy-giraffe.ru/community/33/forum/post/26173/,+,+,,,,,,,,,,,,
Как болят почки: кто виноват и что делать?,http://www.happy-giraffe.ru/community/33/forum/post/26227/,+,+,,,,,,,,,,,,
Постоянное чувство голода…Что делать?,http://www.happy-giraffe.ru/community/33/forum/post/26321/,+,+,,,,,,,,,,,,
Лечение варикозного расширения вен нижних конечностей,http://www.happy-giraffe.ru/community/33/forum/post/26757/,+,+,,,,,,,,,,,,
Как лечить варикозное расширение вен в домашних условиях,http://www.happy-giraffe.ru/community/33/forum/post/27155/,+,+,,,,,,,,,,,,
Зуд между пальцами рук: почему возникает и чем помочь?,http://www.happy-giraffe.ru/community/33/forum/post/28453/,+,+,,,,,,,,,,,,
Симптомы гриппа у детей и взрослых,http://www.happy-giraffe.ru/community/33/forum/post/28788/,+,+,,,,,,,,,,,,
У вас немеет левая рука? Причины этого неизвестны?,http://www.happy-giraffe.ru/community/33/forum/post/30812/,+,+,,,,,,,,,,,,
"Как болит сердце, или Дела сердечные",http://www.happy-giraffe.ru/community/33/forum/post/30819/,+,+,,,,,,,,,,,,
Металлический привкус во рту: возможные причины,http://www.happy-giraffe.ru/community/33/forum/post/31336/,+,+,,,,,,,,,,,,
Приливы при климаксе: лечение и облегчение,http://www.happy-giraffe.ru/community/33/forum/post/31342/,+,+,,,,,,,,,,,,
Боль в молочной железе,http://www.happy-giraffe.ru/community/33/forum/post/31345/,+,+,,,,,,,,,,,,
Поговорим о причинах повышенной потливости,http://www.happy-giraffe.ru/community/33/forum/post/31349/,+,+,,,,,,,,,,,,
Если кружится голова…,http://www.happy-giraffe.ru/community/33/forum/post/31514/,+,+,,,,,,,,,,,,
Все о признаках аллергия,http://www.happy-giraffe.ru/community/33/forum/post/31637/,+,+,,,,,,,,,,,,
"Першение в горле: симптомы, причины и лечение",http://www.happy-giraffe.ru/community/33/forum/post/31644/,+,+,,,,,,,,,,,,
Боли в груди – нужно ли бить тревогу?,http://www.happy-giraffe.ru/community/33/forum/post/31652/,+,+,,,,,,,,,,,,
Хрустят суставы – что случилось?,http://www.happy-giraffe.ru/community/33/forum/post/31723/,+,+,,,,,,,,,,,,
Запах из носа: выясняем причину,http://www.happy-giraffe.ru/community/33/forum/post/31848/,+,+,,,,,,,,,,,,
Поджелудочная железа. Симптомы заболевания,http://www.happy-giraffe.ru/community/33/forum/post/31888/,+,+,,,,,,,,,,,,
Ангина – симптомы различных её форм,http://www.happy-giraffe.ru/community/33/forum/post/32007/,+,+,,,,,,,,,,,,
Боли в тазобедренных суставах: что нам хочет рассказать организм,http://www.happy-giraffe.ru/community/33/forum/post/32021/,+,+,,,,,,,,,,,,
Слабость в теле: кто виноват и что делать?,http://www.happy-giraffe.ru/community/33/forum/post/32313/,+,+,,,,,,,,,,,,
Возникли болячки на голове – почему и что делать?,http://www.happy-giraffe.ru/community/33/forum/post/32321/,+,+,,,,,,,,,,,,
Если дергается веко…,http://www.happy-giraffe.ru/community/33/forum/post/32322/,+,+,,,,,,,,,,,,
Когда ощущается давление в ушах,http://www.happy-giraffe.ru/community/33/forum/post/32340/,+,+,,,,,,,,,,,,
Горят стопы ног? Причины и методы тушения пожара,http://www.happy-giraffe.ru/community/33/forum/post/32354/,+,+,,,,,,,,,,,,
Почему появляется тяжесть в желудке?,http://www.happy-giraffe.ru/community/33/forum/post/32452/,+,+,,,,,,,,,,,,
Отчего начинают грызть ногти и как от этого избавиться?,http://www.happy-giraffe.ru/community/33/forum/post/32458/,+,+,,,,,,,,,,,,
"Кожные заболевания: симптомы, видимые глазу",http://www.happy-giraffe.ru/community/33/forum/post/32500/,+,+,,,,,,,,,,,,
Сильно болит голова – под подозрением гистаминовая головная боль,http://www.happy-giraffe.ru/community/33/forum/post/32602/,+,+,,,,,,,,,,,,
"6 причин, почему болят ноги",http://www.happy-giraffe.ru/community/33/forum/post/32630/,+,+,,,,,,,,,,,,
Болит под коленом,http://www.happy-giraffe.ru/community/33/forum/post/32631/,+,+,,,,,,,,,,,,
Из-за чего бывает зуд кожи и как его предупредить?,http://www.happy-giraffe.ru/community/33/forum/post/32673/,+,+,,,,,,,,,,,,
"Температура комфорта, или нормальная температура тела человека",http://www.happy-giraffe.ru/community/33/forum/post/32678/,+,+,,,,,,,,,,,,
"Почему сушит во рту, и что с этим делать?",http://www.happy-giraffe.ru/community/33/forum/post/32794/,+,+,,,,,,,,,,,,
Чесотка: симптомы и особенности,http://www.happy-giraffe.ru/community/33/forum/post/32840/,+,+,,,,,,,,,,,,
Почему заложило ухо и что надо делать,http://www.happy-giraffe.ru/community/33/forum/post/32912/,+,+,,,,,,,,,,,,
"Покажите ваш язык – получите диагноз, или откуда берутся пятна на языке",http://www.happy-giraffe.ru/community/33/forum/post/32951/,+,+,,,,,,,,,,,,
Красные пятна на груди и теле: причины и действия,http://www.happy-giraffe.ru/community/33/forum/post/32964/,+,+,,,,,,,,,,,,
Почему болит колено?,http://www.happy-giraffe.ru/community/33/forum/post/32984/,+,+,,,,,,,,,,,,
Когда болит пупок у взрослого?,http://www.happy-giraffe.ru/community/33/forum/post/32987/,+,+,,,,,,,,,,,,
Эта ужасная боль в левом подреберье,http://www.happy-giraffe.ru/community/33/forum/post/32988/,+,+,,,,,,,,,,,,
Появилась сыпь на руках? Анализируйте!,http://www.happy-giraffe.ru/community/33/forum/post/33261/,+,+,,,,,,,,,,,,
"Менструальные боли: все, что вам нужно знать о них",http://www.happy-giraffe.ru/community/33/forum/post/39626/,+,+,,,,,,,,,,,,
"Сахарный диабет: признаки, о которых нужно знать всем",http://www.happy-giraffe.ru/community/33/forum/post/40522/,+,+,,,,,,,,,,,,
Онемение пальцев рук: самые распространённые причины,http://www.happy-giraffe.ru/community/33/forum/post/40533/,+,+,,,,,,,,,,,,
Глисты у человека: симптомы заражения различными паразитами,http://www.happy-giraffe.ru/community/33/forum/post/41025/,+,+,,,,,,,,,,,,
Трахеит: что это и насколько опасно,http://www.happy-giraffe.ru/community/33/forum/post/41120/,+,+,,,,,,,,,,,,
"Синдром хронической усталости: симптомы, причины, лечение",http://www.happy-giraffe.ru/community/33/forum/post/41134/,+,+,,,,,,,,,,,,
Почему может быть высокая температура без симптомов?,http://www.happy-giraffe.ru/community/33/forum/post/41148/,+,+,,,,,,,,,,,,
Горечь во рту и ее лечение,http://www.happy-giraffe.ru/community/33/forum/post/41380/,+,+,,,,,,,,,,,,
"5 причин, почему болит язык",http://www.happy-giraffe.ru/community/33/forum/post/41713/,+,+,,,,,,,,,,,,
Запах изо рта? Причины легко обнаружить!,http://www.happy-giraffe.ru/community/33/forum/post/41715/,+,+,,,,,,,,,,,,
Отеки на лице: 5 основных причин и способы вернуть былую прелесть,http://www.happy-giraffe.ru/community/33/forum/post/42269/,+,+,,,,,,,,,,,,
Почему отекают ноги: 4 основные причины,http://www.happy-giraffe.ru/community/33/forum/post/43228/,+,+,,,,,,,,,,,,
Почему болит голова? Классификация причин,http://www.happy-giraffe.ru/community/33/forum/post/43265/,+,+,,,,,,,,,,,,
Температура 37.2: причины «горячей» жизни,http://www.happy-giraffe.ru/community/33/forum/post/43482/,+,+,,,,,,,,,,,,
"Сильное потоотделение: причины разные, а суть одна",http://www.happy-giraffe.ru/community/33/forum/post/43557/,+,+,,,,,,,,,,,,
"Кажется, я застудила грудь… Не может быть!",http://www.happy-giraffe.ru/community/33/forum/post/44638/,+,+,,,,,,,,,,,,
"Межреберная невралгия: симптомы, которые вводят в заблуждение",http://www.happy-giraffe.ru/community/33/forum/post/44724/,+,+,,,,,,,,,,,,
"Что делать, если опухло колено?",http://www.happy-giraffe.ru/community/33/forum/post/45089/,+,+,,,,,,,,,,,,
Шум в ушах: как убавить его громкость?,http://www.happy-giraffe.ru/community/33/forum/post/45127/,+,+,,,,,,,,,,,,
Воспаление легких: симптомы и диагностика,http://www.happy-giraffe.ru/community/33/forum/post/45416/,+,+,,,,,,,,,,,,
Как определить аппендицит в домашних условиях,http://www.happy-giraffe.ru/community/33/forum/post/45471/,+,+,,,,,,,,,,,,
Отрыжка тухлыми яйцами: выясняем причину,http://www.happy-giraffe.ru/community/33/forum/post/45720/,+,+,,,,,,,,,,,,
"Что делать, если дергается верхнее веко?",http://www.happy-giraffe.ru/community/33/forum/post/45756/,+,+,,,,,,,,,,,,
Белые пятна на ногтях — к переменам в жизни?,http://www.happy-giraffe.ru/community/33/forum/post/45762/,+,+,,,,,,,,,,,,
Вздутие живота приводит к астме?,http://www.happy-giraffe.ru/community/33/forum/post/46071/,+,+,,,,,,,,,,,,
Вздутие живота: причины определены!,http://www.happy-giraffe.ru/community/33/forum/post/46110/,+,+,,,,,,,,,,,,
Высокое давление: симптомы и опасность,http://www.happy-giraffe.ru/community/33/forum/post/46157/,+,+,,,,,,,,,,,,
"Мастит: симптомы разные, а итог неоднозначен",http://www.happy-giraffe.ru/community/33/forum/post/46715/,+,+,,,,,,,,,,,,
Не проходит боль в ногах. Причины определят лечение,http://www.happy-giraffe.ru/community/33/forum/post/46806/,+,+,,,,,,,,,,,,
Повышенное внутричерепное давление: симптомы,http://www.happy-giraffe.ru/community/33/forum/post/46997/,+,+,,,,,,,,,,,,
Сыпь на коже – на что похоже?,http://www.happy-giraffe.ru/community/33/forum/post/47034/,+,+,,,,,,,,,,,,
Воспаление кишечника: симптомы и осложнения,http://www.happy-giraffe.ru/community/33/forum/post/47037/,+,+,,,,,,,,,,,,
Болит грудь – исследуем себя сами,http://www.happy-giraffe.ru/community/33/forum/post/47041/,+,+,,,,,,,,,,,,
Предынфарктное состояние: симптомы надвигающейся болезни,http://www.happy-giraffe.ru/community/33/forum/post/47356/,+,+,,,,,,,,,,,,
Булимия: симптомы и отличия от анорексии и нервного переедания,http://www.happy-giraffe.ru/community/33/forum/post/47636/,+,+,,,,,,,,,,,,
Уплотнение в груди – отчего оно бывает?,http://www.happy-giraffe.ru/community/33/forum/post/47640/,+,+,,,,,,,,,,,,
Горечь во рту и тошнота: признаки какого заболевания?,http://www.happy-giraffe.ru/community/33/forum/post/47915/,+,+,,,,,,,,,,,,
Сыпь на груди: как определить причину по внешнему виду высыпания?,http://www.happy-giraffe.ru/community/33/forum/post/47940/,+,+,,,,,,,,,,,,
